test_id,lang_name,answer_no,answer,cognate,morphemic_parse
1,Belarussian,0,завярнуўся,1,"{'PREF': ['за'], 'ROOT': ['вяр'], 'SUFF': ['н', 'у', 'ў'], 'POSTFIX': ['ся']}"
1,Belarussian,1,прыступак,1,"{'PREF': ['пры'], 'ROOT': ['ступ'], 'SUFF': ['ак']}"
1,Belarussian,2,шашак,1,"{'ROOT': ['шаш'], 'SUFF': ['ак']}"
1,Belarussian,3,плячыма,0,"{'ROOT': ['пляч'], 'END': ['ыма']}"
1,Belarussian,4,фiнiкi,1,"{'ROOT': ['фiнiк'], 'END': ['i']}"
1,Belarussian,5,дзiва,0.5,"{'ROOT': ['дзiв'], 'END': ['а']}"
1,Belarussian,6,вырваўся,1,"{'PREF': ['вы'], 'ROOT': ['рв'], 'SUFF': ['а', 'ў'], 'POSTFIX': ['ся']}"
1,Belarussian,7,вяроўкi,1,"{'ROOT': ['вяроў'], 'SUFF': ['к'], 'END': ['i']}"
1,Belarussian,8,допытах,0.5,"{'PREF': ['до'], 'ROOT': ['пыт'], 'END': ['ах']}"
1,Belarussian,9,дурною,0,"{'ROOT': ['дур'], 'SUFF': ['н'], 'END': ['ою']}"
1,Belarussian,10,ведаў,0.5,"{'ROOT': ['веда'], 'SUFF': ['ў']}"
1,Belarussian,11,прыступак,1,"{'PREF': ['пры'], 'ROOT': ['ступ'], 'SUFF': ['ак']}"
1,Belarussian,12,дарогу,1,"{'ROOT': ['дарог'], 'END': ['у']}"
1,Belarussian,13,асуджаных,1,"{'PREF': ['а'], 'ROOT': ['судж'], 'SUFF': ['ан'], 'END': ['ых']}"
1,Belarussian,14,глашатаяў,1,"{'ROOT': ['глаш'], 'SUFF': ['ат', 'а'], 'END': ['яў']}"
1,Belarussian,15,грэцкай,1,"{'ROOT': ['грэц'], 'SUFF': ['к'], 'END': ['ай']}"
1,Belarussian,16,трубы,1,"{'ROOT': ['труб'], 'END': ['ы']}"
1,Belarussian,17,весела,1,"{'ROOT': ['весел'], 'END': ['а']}"
1,Belarussian,18,хлапчукоўскi,0.5,"{'ROOT': ['хлапч'], 'SUFF': ['ук', 'оў', 'ск'], 'END': ['i']}"
1,Belarussian,19,салдат,1,{'ROOT': ['салдат']}
1,Belarussian,20,значком,1,"{'ROOT': ['знач'], 'SUFF': ['к'], 'END': ['ом']}"
1,Belarussian,21,спынiлiся,0,"{'PREF': ['с'], 'ROOT': ['пын'], 'SUFF': ['i', 'л'], 'END': ['i'], 'POSTFIX': ['ся']}"
1,Belarussian,22,вылецела,1,"{'PREF': ['вы'], 'ROOT': ['лец'], 'SUFF': ['е', 'л'], 'END': ['а']}"
1,Belarussian,23,каменнаю,1,"{'ROOT': ['камен'], 'SUFF': ['н'], 'END': ['аю']}"
1,Belarussian,24,вiнаград,1,"{'ROOT': ['вiн', 'град'], 'LINK': ['а']}"
1,Belarussian,25,дарогаю,1,"{'ROOT': ['дарог'], 'END': ['аю']}"
1,Belarussian,26,хлопчык,0.5,"{'ROOT': ['хлопч'], 'SUFF': ['ык']}"
1,Belarussian,27,камандзiр,1,{'ROOT': ['камандзiр']}
1,Belarussian,28,выхапiў,0.5,"{'PREF': ['вы'], 'ROOT': ['хап'], 'SUFF': ['i', 'ў']}"
1,Belarussian,29,мокры,1,"{'ROOT': ['мокр'], 'END': ['ы']}"
1,Belarussian,30,шарахнуўся,1,"{'ROOT': ['шарах'], 'SUFF': ['н', 'у', 'ў'], 'POSTFIX': ['ся']}"
1,Belarussian,31,камандзiр,1,{'ROOT': ['камандзiр']}
1,Belarussian,32,шыi,1,"{'ROOT': ['шы'], 'END': ['i']}"
1,Belarussian,33,паляцелi,1,"{'PREF': ['па'], 'ROOT': ['ляц'], 'SUFF': ['е', 'л'], 'END': ['i']}"
1,Belarussian,34,хмарах,0.5,"{'ROOT': ['хмар'], 'END': ['ах']}"
1,Belarussian,35,пiк,1,{'ROOT': ['пiк']}
1,Belarussian,36,весела,1,"{'ROOT': ['весел'], 'END': ['а']}"
1,Belarussian,37,зіхатлівымі,0,"{'ROOT': ['зіхат'], 'SUFF': ['лів'], 'END': ['ымі']}"
1,Belarussian,38,салдат,1,{'ROOT': ['салдат']}
1,Belarussian,39,трубою,1,"{'ROOT': ['труб'], 'END': ['ою']}"
1,Belarussian,40,моршчыўся,1,"{'ROOT': ['моршч'], 'SUFF': ['ы', 'ў'], 'POSTFIX': ['ся']}"
1,Belarussian,41,рушыў,0,"{'ROOT': ['руш'], 'SUFF': ['ы', 'ў']}"
1,Belarussian,42,рушылi,0,"{'ROOT': ['руш'], 'SUFF': ['ы', 'л'], 'END': ['і']}"
