test_id,lang_name,answer_no,answer,cognate,morphemic_parse
1,Czech,0,otočil,0,"{'PREF': ['o'], 'ROOT': ['toč'], 'SUFF': ['i', 'l']}"
1,Czech,1,stupňům,1,"{'ROOT': ['stupň'], 'END': ['ům']}"
1,Czech,2,čtverce,0.5,"{'ROOT': ['čtverc'], 'END': ['e']}"
1,Czech,3,zády,0.5,"{'ROOT': ['zád'], 'END': ['y']}"
1,Czech,4,fíků,0.5,"{'ROOT': ['fík'], 'END': ['ů']}"
1,Czech,5,zázrak,0,"{'PREF': ['zá'], 'ROOT': ['zrak']}"
1,Czech,6,vyvázl,0.5,"{'PREF': ['vy'], 'ROOT': ['váz'], 'SUFF': ['l']}"
1,Czech,7,pouta,0.5,"{'ROOT': ['pout'], 'END': ['a']}"
1,Czech,8,výslechu,0,"{'PREF': ['vý'], 'ROOT': ['slech'], 'END': ['u']}"
1,Czech,9,pomateným,0.5,"{'ROOT': ['pomat'], 'SUFF': ['en'], 'END': ['ým']}"
1,Czech,10,věděl,0.5,"{'ROOT': ['věd'], 'SUFF': ['ě', 'l']}"
1,Czech,11,stupňům,1,"{'ROOT': ['stupň'], 'END': ['ům']}"
1,Czech,12,silnici,0,"{'ROOT': ['silnic'], 'END': ['i']}"
1,Czech,13,odsouzenci,1,"{'PREF': ['od'], 'ROOT': ['souz'], 'SUFF': ['en', 'c'], 'END': ['i']}"
1,Czech,14,vyvolavačů,0,"{'PREF': ['vy'], 'ROOT': ['volav'], 'SUFF': ['ač'], 'END': ['ů']}"
1,Czech,15,řecky,1,"{'ROOT': ['řec'], 'SUFF': ['ck'], 'END': ['y']}"
1,Czech,16,troubení,1,"{'ROOT': ['troub'], 'SUFF': ['en'], 'END': ['í']}"
1,Czech,17,veselé,1,"{'ROOT': ['vesel'], 'END': ['é']}"
1,Czech,18,chlapců,0.5,"{'ROOT': ['chlap'], 'SUFF': ['c'], 'END': ['ů']}"
1,Czech,19,voják,0.5,"{'ROOT': ['voj'], 'SUFF': ['ák']}"
1,Czech,20,praporem,0.5,"{'ROOT': ['prapor'], 'END': ['em']}"
1,Czech,21,zastavili,1,"{'PREF': ['za'], 'ROOT': ['stav'], 'SUFF': ['i', 'l'], 'END': ['i']}"
1,Czech,22,řítila,0,"{'ROOT': ['řít'], 'SUFF': ['i', 'l'], 'END': ['a']}"
1,Czech,23,kamenné,1,"{'ROOT': ['kamen'], 'SUFF': ['n'], 'END': ['é']}"
1,Czech,24,dorazit,0,"{'PREF': ['do'], 'ROOT': ['raz'], 'SUFF': ['i'], 'END': ['t']}"
1,Czech,25,cestou,0,"{'ROOT': ['cest'], 'END': ['ou']}"
1,Czech,26,chlapecké,0.5,"{'ROOT': ['chlap'], 'SUFF': ['eck'], 'END': ['é']}"
1,Czech,27,velitel,0.5,"{'ROOT': ['vel'], 'SUFF': ['i', 'tel']}"
1,Czech,28,vykřikl,0.5,"{'PREF': ['vy'], 'ROOT': ['křik'], 'SUFF': ['l']}"
1,Czech,29,zpocený,0.5,"{'PREF': ['z'], 'ROOT': ['poc'], 'SUFF': ['en'], 'END': ['ý']}"
1,Czech,30,uskočil,0.5,"{'PREF': ['u'], 'ROOT': ['skoč'], 'SUFF': ['i', 'l']}"
1,Czech,31,velitel,0.5,"{'ROOT': ['vel'], 'SUFF': ['i', 'tel']}"
1,Czech,32,hřbetě,0.5,"{'ROOT': ['hřbet'], 'END': ['ě']}"
1,Czech,33,hnaly,0.5,"{'ROOT': ['hn'], 'SUFF': ['a', 'l'], 'END': ['y']}"
1,Czech,34,oblacích,0.5,"{'ROOT': ['oblac'], 'END': ['ích']}"
1,Czech,35,kopí,0.5,"{'ROOT': ['kop'], 'END': ['í']}"
1,Czech,36,vesele,1,"{'ROOT': ['vesel'], 'END': ['e']}"
1,Czech,37,svítivými,0.5,"{'ROOT': ['svít'], 'SUFF': ['iv'], 'END': ['ými']}"
1,Czech,38,voják,0.5,"{'ROOT': ['voj'], 'SUFF': ['ák']}"
1,Czech,39,trubkou,1,"{'ROOT': ['trub'], 'SUFF': ['k'], 'END': ['ou']}"
1,Czech,40,svraštil,0,"{'PREF': ['s'], 'ROOT': ['vrašt'], 'SUFF': ['i', 'l']}"
1,Czech,41,mířil,0,"{'ROOT': ['míř'], 'SUFF': ['i', 'l']}"
1,Czech,42,mířili,0,"{'ROOT': ['míř'], 'SUFF': ['i', 'l'], 'END': ['i']}"
