test_id,lang_name,answer_no,answer,cognate,morphemic_parse
1,Polish,0,odwrócił,1,"{'PREF': ['od'], 'ROOT': ['wróc'], 'SUFF': ['i', 'ł']}"
1,Polish,1,schodów,0.5,"{'ROOT': ['schod'], 'END': ['ów']}"
1,Polish,2,szachownicę,1,"{'ROOT': ['szach'], 'SUFF': ['ow', 'nic'], 'END': ['ę']}"
1,Polish,3,plecami,0.5,"{'ROOT': ['plec'], 'END': ['ami']}"
1,Polish,4,palmowe,0,"{'ROOT': ['palm'], 'SUFF': ['ow'], 'END': ['e']}"
1,Polish,5,cud,1,{'ROOT': ['cud']}
1,Polish,6,wyrwał,1,"{'PREF': ['wy'], 'ROOT': ['rw'], 'SUFF': ['a', 'ł']}"
1,Polish,7,więzy,0.5,"{'ROOT': ['więz'], 'END': ['y']}"
1,Polish,8,śledztwa,0.5,"{'ROOT': ['śled'], 'SUFF': ['ztw'], 'END': ['a']}"
1,Polish,9,obłędnym,0,"{'PREF': ['o'], 'ROOT': ['błęd'], 'SUFF': ['n'], 'END': ['ym']}"
1,Polish,10,wiedział,0.5,"{'ROOT': ['wiedzi'], 'SUFF': ['a', 'ł']}"
1,Polish,11,schodkom,0.5,"{'ROOT': ['schod'], 'SUFF': ['k'], 'END': ['om']}"
1,Polish,12,drogę,1,"{'ROOT': ['drog'], 'END': ['ę']}"
1,Polish,13,skazańców,0,"{'ROOT': ['skaz'], 'SUFF': ['ań', 'c'], 'END': ['ów']}"
1,Polish,14,heroldów,0.5,"{'ROOT': ['herold'], 'END': ['ów']}"
1,Polish,15,grecku,1,"{'ROOT': ['grec'], 'SUFF': ['ck'], 'END': ['u']}"
1,Polish,16,trąbki,1,"{'ROOT': ['trąb'], 'SUFF': ['k'], 'END': ['i']}"
1,Polish,17,wesoły,1,"{'ROOT': ['wesoł'], 'END': ['y']}"
1,Polish,18,chłopców,0.5,"{'ROOT': ['chłop'], 'SUFF': ['c'], 'END': ['ów']}"
1,Polish,19,żołnierz,1,{'ROOT': ['żołnierz']}
1,Polish,20,znakiem,1,"{'ROOT': ['znak'], 'END': ['iem']}"
1,Polish,21,przystanęli,1,"{'PREF': ['przy'], 'ROOT': ['stan'], 'SUFF': ['ę', 'ł'], 'END': ['i']}"
1,Polish,22,wypadła,0.5,"{'PREF': ['wy'], 'ROOT': ['pad'], 'SUFF': ['ł'], 'END': ['a']}"
1,Polish,23,kamiennych,1,"{'ROOT': ['kamien'], 'SUFF': ['n'], 'END': ['ych']}"
1,Polish,24,winem,1,"{'ROOT': ['win'], 'END': ['em']}"
1,Polish,25,drogą,1,"{'ROOT': ['drog'], 'END': ['ą']}"
1,Polish,26,wyrostek,0.5,"{'PREF': ['wy'], 'ROOT': ['rost'], 'SUFF': ['ek']}"
1,Polish,27,dowódca,0,"{'PREF': ['do'], 'ROOT': ['wód'], 'SUFF': ['c'], 'END': ['a']}"
1,Polish,28,wyszarpnął,0.5,"{'PREF': ['wy'], 'ROOT': ['szarp'], 'SUFF': ['ną', 'ł']}"
1,Polish,29,spieniony,0.5,"{'PREF': ['s'], 'ROOT': ['pien'], 'SUFF': ['ion'], 'END': ['y']}"
1,Polish,30,uskoczył,0.5,"{'PREF': ['u'], 'ROOT': ['skocz'], 'SUFF': ['y', 'ł']}"
1,Polish,31,dowódca,0,"{'PREF': ['do'], 'ROOT': ['wód'], 'SUFF': ['c'], 'END': ['a']}"
1,Polish,32,karku,0,"{'ROOT': ['kark'], 'END': ['u']}"
1,Polish,33,przemknęli,0,"{'PREF': ['prze'], 'ROOT': ['mkn'], 'SUFF': ['ę', 'ł'], 'END': ['i']}"
1,Polish,34,chmurach,0.5,"{'ROOT': ['chmur'], 'END': ['ach']}"
1,Polish,35,dzid,0,{'ROOT': ['dzid']}
1,Polish,36,wesoło,1,"{'ROOT': ['wesoł'], 'END': ['o']}"
1,Polish,37,połyskliwych,0,"{'PREF': ['po'], 'ROOT': ['łysk'], 'SUFF': ['liw'], 'END': ['ych']}"
1,Polish,38,żołnierz,1,{'ROOT': ['żołnierz']}
