test_id,lang_name,answer_no,answer,morphemic_parse
1,Russian,0,повернулся,"{'PREF': ['по'], 'ROOT': ['вер'], 'SUFF': ['н', 'у', 'л'], 'POSTFIX': ['ся']}"
1,Russian,1,ступеням,"{'ROOT': ['ступен'], 'END': ['ям']}"
1,Russian,2,шашек,"{'ROOT': ['шаш'], 'SUFF': ['ек']}"
1,Russian,3,спиною,"{'ROOT': ['спин'], 'END': ['ою']}"
1,Russian,4,финики,"{'ROOT': ['финик'], 'END': ['и']}"
1,Russian,5,чудо,"{'ROOT': ['чуд'], 'END': ['о']}"
1,Russian,6,вырвался,"{'PREF': ['вы'], 'ROOT': ['рв'], 'SUFF': ['а', 'л'], 'POSTFIX': ['ся']}"
1,Russian,7,веревки,"{'ROOT': ['верев'], 'SUFF': ['к'], 'END': ['и']}"
1,Russian,8,допросе,"{'ROOT': ['допрос'], 'END': ['е']}"
1,Russian,9,сумасшедшей,"{'PREF': ['с'], 'ROOT': ['ума', 'шед'], 'LINK': ['с'], 'SUFF': ['ш'], 'END': ['ей']}"
1,Russian,10,знал,"{'ROOT': ['зна'], 'SUFF': ['л']}"
1,Russian,11,ступеням,"{'ROOT': ['ступен'], 'END': ['ям']}"
1,Russian,12,дорогу,"{'ROOT': ['дорог'], 'END': ['у']}"
1,Russian,13,осужденных,"{'PREF': ['о'], 'ROOT': ['сужд'], 'SUFF': ['енн'], 'END': ['ых']}"
1,Russian,14,глашатаев,"{'ROOT': ['глаш'], 'SUFF': ['ат', 'а'], 'END': ['ев']}"
1,Russian,15,греческом,"{'ROOT': ['греч'], 'SUFF': ['еск'], 'END': ['ом']}"
1,Russian,16,труба,"{'ROOT': ['труб'], 'END': ['а']}"
1,Russian,17,весело,"{'ROOT': ['весел'], 'END': ['о']}"
1,Russian,18,мальчишек,"{'ROOT': ['мальч'], 'SUFF': ['иш', 'ек']}"
1,Russian,19,солдат,{'ROOT': ['солдат']}
1,Russian,20,значком,"{'ROOT': ['знач'], 'SUFF': ['к'], 'END': ['ом']}"
1,Russian,21,остановились,"{'ROOT': ['останов'], 'SUFF': ['и', 'л'], 'END': ['и'], 'POSTFIX': ['сь']}"
1,Russian,22,вылетела,"{'PREF': ['вы'], 'ROOT': ['лет'], 'SUFF': ['е', 'л'], 'END': ['а']}"
1,Russian,23,каменной,"{'ROOT': ['камен'], 'SUFF': ['н'], 'END': ['ой']}"
1,Russian,24,виноград,"{'ROOT': ['вин', 'град'], 'LINK': ['о']}"
1,Russian,25,дорогой,"{'ROOT': ['дорог'], 'END': ['ой']}"
1,Russian,26,мальчик,"{'ROOT': ['мальч'], 'SUFF': ['ик']}"
1,Russian,27,командир,{'ROOT': ['командир']}
1,Russian,28,выхватил,"{'PREF': ['вы'], 'ROOT': ['хват'], 'SUFF': ['и', 'л']}"
1,Russian,29,взмокшая,"{'PREF': ['вз'], 'ROOT': ['мок'], 'SUFF': ['ш'], 'END': ['ая']}"
1,Russian,30,шарахнулась,"{'ROOT': ['шарах'], 'SUFF': ['н', 'у', 'л'], 'END': ['а'], 'POSTFIX': ['сь']}"
1,Russian,31,командир,{'ROOT': ['командир']}
1,Russian,32,шее,"{'ROOT': ['ше'], 'END': ['е']}"
1,Russian,33,полетели,"{'PREF': ['по'], 'ROOT': ['лет'], 'SUFF': ['е', 'л'], 'END': ['и']}"
1,Russian,34,туче,"{'ROOT': ['туч'], 'END': ['е']}"
1,Russian,35,пик,{'ROOT': ['пик']}
1,Russian,36,весело,"{'ROOT': ['весел'], 'END': ['о']}"
1,Russian,37,сверкающими,"{'ROOT': ['сверк'], 'SUFF': ['а', 'ющ'], 'END': ['ими']}"
1,Russian,38,солдат,{'ROOT': ['солдат']}
1,Russian,39,трубою,"{'ROOT': ['труб'], 'END': ['ою']}"
