test_id,lang_name,answer_no,answer,cognate,morphemic_parse
1,Slovak,0,sa obrátil,1,"{'PREF': ['ob'], 'ROOT': ['rát'], 'SUFF': ['i', 'l'], 'POSTFIX': ['sa']}"
1,Slovak,1,schodíkom,0.5,"{'ROOT': ['schod'], 'SUFF': ['ík'], 'END': ['om']}"
1,Slovak,2,dlaždice,0,"{'ROOT': ['dlažd'], 'SUFF': ['ic'], 'END': ['e']}"
1,Slovak,3,chrbtom,0.5,"{'ROOT': ['chrbt'], 'END': ['om']}"
1,Slovak,4,datle,0,"{'ROOT': ['datl'], 'END': ['e']}"
1,Slovak,5,zázrak,0,"{'PREF': ['zá'], 'ROOT': ['zrak']}"
1,Slovak,6,vytrhol,0.5,"{'PREF': ['vy'], 'ROOT': ['trh'], 'SUFF': ['o', 'l']}"
1,Slovak,7,povrazy,0,"{'ROOT': ['povraz'], 'END': ['y']}"
1,Slovak,8,výsluchu,0.5,"{'PREF': ['vý'], 'ROOT': ['sluch'], 'END': ['u']}"
1,Slovak,9,pomäteným,0.5,"{'PREF': ['po'], 'ROOT': ['mät'], 'SUFF': ['en'], 'END': ['ým']}"
1,Slovak,10,vedel,0.5,"{'ROOT': ['ved'], 'SUFF': ['e', 'l']}"
1,Slovak,11,schodíkom,0.5,"{'ROOT': ['schod'], 'SUFF': ['ík'], 'END': ['om']}"
1,Slovak,12,cestu,0,"{'ROOT': ['cest'], 'END': ['u']}"
1,Slovak,13,odsúdenci,1,"{'PREF': ['od'], 'ROOT': ['súd'], 'SUFF': ['en', 'c'], 'END': ['i']}"
1,Slovak,14,vyvolávačov,0,"{'PREF': ['vy'], 'ROOT': ['vol'], 'SUFF': ['áv', 'ač'], 'END': ['ov']}"
1,Slovak,15,grécky,1,"{'ROOT': ['gréck'], 'SUFF': ['ck'], 'END': ['y']}"
1,Slovak,16,poľnice,0,"{'ROOT': ['poľnic'], 'END': ['e']}"
1,Slovak,17,veselo,1,"{'ROOT': ['vesel'], 'END': ['o']}"
1,Slovak,18,šarvancov,0.5,"{'ROOT': ['šarvan'], 'SUFF': ['c'], 'END': ['ov']}"
1,Slovak,19,vojak,0.5,"{'ROOT': ['voj'], 'SUFF': ['ak']}"
1,Slovak,20,zástavkou,0,"{'ROOT': ['zástav'], 'SUFF': ['k'], 'END': ['ou']}"
1,Slovak,21,sa zastavili,1,"{'PREF': ['za'], 'ROOT': ['stav'], 'SUFF': ['i', 'l'], 'END': ['i'], 'POSTFIX': ['sa']}"
1,Slovak,22,vyletela,1,"{'PREF': ['vy'], 'ROOT': ['let'], 'SUFF': ['e', 'l'], 'END': ['a']}"
1,Slovak,23,kamennom,1,"{'ROOT': ['kamen'], 'SUFF': ['n'], 'END': ['om']}"
1,Slovak,24,viničom,1,"{'ROOT': ['vin'], 'SUFF': ['ič'], 'END': ['om']}"
1,Slovak,25,cestou,0,"{'ROOT': ['cest'], 'END': ['ou']}"
1,Slovak,26,chlapec,0.5,"{'ROOT': ['chlap'], 'SUFF': ['ec']}"
1,Slovak,27,veliteľ,0.5,{'ROOT': ['veliteľ']}
1,Slovak,28,vytasil,0.5,"{'PREF': ['vy'], 'ROOT': ['tas'], 'SUFF': ['i', 'l']}"
1,Slovak,29,spotený,0.5,"{'PREF': ['s'], 'ROOT': ['pot'], 'SUFF': ['en'], 'END': ['ý']}"
1,Slovak,30,cúvol,0,"{'ROOT': ['cúv'], 'SUFF': ['o', 'l']}"
1,Slovak,31,veliteľ,0.5,{'ROOT': ['veliteľ']}
1,Slovak,32,šiji,1,"{'ROOT': ['šij'], 'END': ['i']}"
1,Slovak,33,cválali,0,"{'ROOT': ['cvál'], 'SUFF': ['a', 'l'], 'END': ['i']}"
1,Slovak,34,oblaku,0.5,"{'ROOT': ['oblak'], 'END': ['u']}"
1,Slovak,35,pík,1,{'ROOT': ['pík']}
1,Slovak,36,veselo,1,"{'ROOT': ['vesel'], 'END': ['o']}"
1,Slovak,37,jagavými,0,"{'ROOT': ['jagav'], 'END': ['ými']}"
1,Slovak,38,vojak,0.5,"{'ROOT': ['voj'], 'SUFF': ['ak']}"
1,Slovak,39,poľnicou,0,"{'ROOT': ['poľnic'], 'END': ['ou']}"
1,Slovak,40,mraštil,1,"{'ROOT': ['mrašt'], 'SUFF': ['i', 'l']}"
1,Slovak,41,zamieril,0,"{'PREF': ['za'], 'ROOT': ['mier'], 'SUFF': ['i', 'l']}"
1,Slovak,42,išli,0.5,"{'ROOT': ['iš'], 'SUFF': ['l'], 'END': ['i']}"
2,Slovak,0,prázdnou,0.5,"{'ROOT': ['prázdn'], 'END': ['ou']}"
2,Slovak,1,chodbou,0.5,"{'ROOT': ['chod'], 'SUFF': ['b'], 'END': ['ou']}"
2,Slovak,2,budove,0,"{'ROOT': ['budov'], 'END': ['e']}"
2,Slovak,3,sklené,1,"{'ROOT': ['skl'], 'SUFF': ['en'], 'END': ['é']}"
2,Slovak,4,nástrojmi,0.5,"{'PREF': ['ná'], 'ROOT': ['stroj'], 'END': ['mi']}"
2,Slovak,5,kreslá,1,"{'ROOT': ['kresl'], 'END': ['á']}"
2,Slovak,6,tienidlami,0,"{'ROOT': ['tienidl'], 'END': ['ami']}"
2,Slovak,7,káble,0.5,"{'ROOT': ['kábl'], 'END': ['e']}"
2,Slovak,8,vzali,0.5,"{'ROOT': ['vz'], 'SUFF': ['a', 'l'], 'END': ['i']}"
2,Slovak,9,stolíku,1,"{'ROOT': ['stol'], 'SUFF': ['ík'], 'END': ['u']}"
