test_id,lang_name,answer_no,answer,cognate,morphemic_parse
1,Slovene,0,zasukal,0,"{'PREF': ['za'], 'ROOT': ['suk'], 'SUFF': ['a', 'l']}"
1,Slovene,1,stopnicam,1,"{'ROOT': ['stopn'], 'SUFF': ['ic'], 'END': ['am']}"
1,Slovene,2,ploščic,0.5,"{'ROOT': ['plošč'], 'SUFF': ['ic']}"
1,Slovene,3,hrbtom,0.5,"{'ROOT': ['hrbt'], 'END': ['om']}"
1,Slovene,4,dateljnov,0,"{'ROOT': ['datelj'], 'SUFF': ['n'], 'END': ['ov']}"
1,Slovene,5,čudo,1,"{'ROOT': ['čud'], 'END': ['o']}"
1,Slovene,6,iztrga,0.5,"{'PREF': ['iz'], 'ROOT': ['trg'], 'SUFF': ['a']}"
1,Slovene,7,vezi,0.5,"{'ROOT': ['vez'], 'END': ['i']}"
1,Slovene,8,zasliševanjem,0.5,"{'PREF': ['za'], 'ROOT': ['sliš'], 'SUFF': ['eva', 'nj'], 'END': ['em']}"
1,Slovene,9,norim,0,"{'ROOT': ['nor'], 'END': ['im']}"
1,Slovene,10,vedel,0.5,"{'ROOT': ['ved'], 'SUFF': ['e', 'l']}"
1,Slovene,11,stopnicam,1,"{'ROOT': ['stopn'], 'SUFF': ['ic'], 'END': ['am']}"
1,Slovene,12,cesto,0,"{'ROOT': ['cest'], 'END': ['o']}"
1,Slovene,13,obsojencev,0,"{'PREF': ['ob'], 'ROOT': ['soj'], 'SUFF': ['en', 'c'], 'END': ['ev']}"
1,Slovene,14,izklicevalcev,0.5,"{'PREF': ['iz'], 'ROOT': ['klic'], 'SUFF': ['eva', 'l', 'c'], 'END': ['ev']}"
1,Slovene,15,grščini,1,"{'ROOT': ['gršč'], 'SUFF': ['in'], 'END': ['i']}"
1,Slovene,16,trobento,1,"{'ROOT': ['trobent'], 'END': ['o']}"
1,Slovene,17,veselo,1,"{'ROOT': ['vesel'], 'END': ['o']}"
1,Slovene,18,paglavcev,0,"{'ROOT': ['paglav'], 'SUFF': ['c'], 'END': ['ev']}"
1,Slovene,19,vojak,0.5,"{'ROOT': ['voj'], 'SUFF': ['ak']}"
1,Slovene,20,znamenjem,1,"{'ROOT': ['znamenj'], 'END': ['em']}"
1,Slovene,21,ustavili,1,"{'PREF': ['u'], 'ROOT': ['stav'], 'SUFF': ['i', 'l'], 'END': ['i']}"
1,Slovene,22,pridrvela,0,"{'PREF': ['pri'], 'ROOT': ['drv'], 'SUFF': ['e', 'l'], 'END': ['a']}"
1,Slovene,23,kamnitnim,1,"{'ROOT': ['kamn'], 'SUFF': ['it', 'n'], 'END': ['im']}"
1,Slovene,24,vinsko,1,"{'ROOT': ['vin'], 'SUFF': ['sk'], 'END': ['o']}"
1,Slovene,25,poti,0.5,"{'ROOT': ['pot'], 'END': ['i']}"
1,Slovene,26,deček,0.5,"{'ROOT': ['deč'], 'SUFF': ['ek']}"
1,Slovene,27,poveljnik,0.5,"{'PREF': ['po'], 'ROOT': ['velj'], 'SUFF': ['nik']}"
