test_id,lang_name,answer_no,answer,cognate,morphemic_parse
1,Ukranian,0,повернувся,1,"{'PREF': ['по'], 'ROOT': ['вер'], 'SUFF': ['н', 'у', 'в'], 'POSTFIX': ['ся']}"
1,Ukranian,1,сходинок,0.5,"{'PREF': ['с'], 'ROOT': ['ход'], 'SUFF': ['ин', 'ок']}"
1,Ukranian,2,шашок,1,"{'ROOT': ['шаш'], 'SUFF': ['ок']}"
1,Ukranian,3,спиною,1,"{'ROOT': ['спин'], 'END': ['ою']}"
1,Ukranian,4,фініки,1,"{'ROOT': ['фінік'], 'END': ['и']}"
1,Ukranian,5,диво,0.5,"{'ROOT': ['див'], 'END': ['о']}"
1,Ukranian,6,вирвався,1,"{'PREF': ['ви'], 'ROOT': ['рв'], 'SUFF': ['а', 'в'], 'POSTFIX': ['ся']}"
1,Ukranian,7,мотузки,0,"{'ROOT': ['мотуз'], 'SUFF': ['к'], 'END': ['и']}"
1,Ukranian,8,допиті,0.5,"{'PREF': ['до'], 'ROOT': ['пит'], 'END': ['і']}"
1,Ukranian,9,божевільною,0,"{'ROOT': ['бож', 'віль'], 'LINK': ['е'], 'SUFF': ['н'], 'END': ['ою']}"
1,Ukranian,10,знав,1,"{'ROOT': ['зна'], 'SUFF': ['в']}"
1,Ukranian,11,сходинок,0.5,"{'PREF': ['с'], 'ROOT': ['ход'], 'SUFF': ['ин', 'ок']}"
1,Ukranian,12,дорогу,1,"{'ROOT': ['дорог'], 'END': ['у']}"
1,Ukranian,13,засуджених,1,"{'PREF': ['за'], 'ROOT': ['судж'], 'SUFF': ['ен'], 'END': ['их']}"
1,Ukranian,14,глашатаїв,1,"{'ROOT': ['глаш'], 'SUFF': ['ат', 'а'], 'END': ['їв']}"
1,Ukranian,15,грецькою,1,"{'ROOT': ['грець'], 'SUFF': ['к'], 'END': ['ою']}"
1,Ukranian,16,сурма,0,"{'ROOT': ['сурм'], 'END': ['а']}"
1,Ukranian,17,весело,1,"{'ROOT': ['весел'], 'END': ['о']}"
1,Ukranian,18,хлопчиськ,0.5,"{'ROOT': ['хлопч'], 'SUFF': ['иськ']}"
1,Ukranian,19,солдат,1,{'ROOT': ['солдат']}
1,Ukranian,20,значком,1,"{'ROOT': ['знач'], 'SUFF': ['к'], 'END': ['ом']}"
1,Ukranian,21,зупинилися,0,"{'PREF': ['зу'], 'ROOT': ['пин'], 'SUFF': ['и', 'л'], 'END': ['и'], 'POSTFIX': ['ся']}"
1,Ukranian,22,вилетіла,1,"{'PREF': ['ви'], 'ROOT': ['лет'], 'SUFF': ['і', 'л'], 'END': ['а']}"
