pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"15, 'диво', 'дзiва'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0736842105263158
"18, 'допросах', 'допытах'",0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465587044534413
"110, 'ведал', 'ведаў'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"126, 'хлопчик', 'хлопчык'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5368421052631579
"28, 'взялись', 'ўзялiся'",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.1929824561403509
"211, 'искушал', 'спакушаў'",0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2969924812030075
"212, 'мудреные', 'мудрагелiстыя'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.6,0.0,-0.0894736842105262
"218, 'рассказ', 'расказ'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8789473684210526
"220, 'наоборот', 'наадварот'",0.0,0.0,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.219298245614035
"224, 'расспросили', 'распыталiся'",0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.2,2.0,0.229665071770335
"227, 'свояках', 'сваякоў'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.5,0.0,-3.236842105263158
"232, 'отдала', 'аддала'",0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0087719298245613
"234, 'очи', 'вочы'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-2.631578947368421
"238, 'подскакивали', 'падскоквалi'",0.0,0.0,0.3,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.2,0.0,-1.4210526315789471
"39, 'опеку', 'апеку'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
"310, 'шли', 'ішоў'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.6666666666666666
"311, 'стежками', 'сцежкамі'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-1.3333333333333333
"315, 'окружили', 'акружылі'",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.9090909090909092
"323, 'ехавших', 'ехалі'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.2,0.0,0.1428571428571428
"327, 'господин', 'спадару'",0.0,0.0,0.0,0.0,2.3,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
"330, 'огонь', 'агонь'",0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556
"333, 'подали', 'падалі'",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.081081081081081
"44, 'рассудка', 'рассудку'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4634146341463414
"46, 'невольника', 'нявольніцкім'",0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.2,1.0,0.0,2.0,0.0,-0.2211942809083264
"47, 'прыткие', 'спрытныя'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2,0.0,0.1332082551594745
"48, 'сподручными', 'зручнымі'",0.0,0.0,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.494773519163763
"410, 'хочет', 'хоча'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1332082551594745
"413, 'отречься', 'адрачыся'",0.0,0.0,0.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.897560975609756
"418, 'послушанию', 'послугу'",0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.6,0.0,-4.634146341463415
"423, 'мучил', 'мучыў'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,-0.9317073170731706
"425, 'холоден', 'халоднай'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0609756097560975
"435, 'ведал', 'ведаў'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1251325556733829
"440, 'горячка', 'гарачка'",0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1332082551594745
"443, 'жалость', 'жаль'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-2.0585365853658537
"51, 'потом', 'пот'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.0625
"510, 'богов', 'бостваў'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.8,0.0,-1.1541666666666666
"519, 'ваз', 'вазаў'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5104166666666666
"528, 'думой', 'думкай'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.5104166666666666
