pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"12, 'плиток', 'плочки'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2072072072072071
"112, 'путь', 'пътя'",0.0,1.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1891891891891893
"118, 'хлопцев', 'хлапетата'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.0,0.0,0.0,2.0,0.0,-1.1405405405405409
"119, 'воин', 'войникът'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.0,0.0,0.0,2.2,0.0,0.4054054054054053
"124, 'лоза', 'лози'",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4054054054054054
"125, 'путь', 'път'",0.0,1.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3393393393393393
"128, 'вытянул', 'изтегли'",0.0,0.0,2.0,0.0,1.6,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-0.7837837837837839
"134, 'облаке', 'облак'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6602316602316602
"137, 'блестящими', 'блестящи'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.108108108108108
"138, 'воин', 'войник'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.777027027027027
"141, 'продолжил', 'продължи'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1891891891891892
"142, 'тронулся', 'тръгнаха'",0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,2.0,1.0,1.0,2.0,-0.3213213213213213
"26, 'абажурами', 'абажури'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6891891891891891
"210, 'осмысливать', 'замисли'",0.0,0.0,1.0,1.6,0.6,0.0,0.0,0.0,2.0,0.0,2.0,0.0,-0.2432432432432433
"220, 'изощренно', 'изопачено'",0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5855855855855856
"224, 'выпытали', 'разпитаха'",0.0,0.0,3.0,0.0,0.6,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.3562653562653563
"238, 'подскакивали', 'подскачаха'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,-1.4864864864864866
"312, 'группки', 'групички'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.2136752136752136
