pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"14, 'фиги', 'fíků', 'фику'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0693301997649822
"17, 'путы', 'pouta', 'поута'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.945945945945946
"118, 'хлопцев', 'chlapců', 'хлапцу'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.3081081081081082
"119, 'воин', 'voják', 'войак'",0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2072072072072071
"126, 'хлопец', 'chlapecké', 'хлапецкэ'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.3477477477477479
"127, 'повелитель', 'velitel', 'велител'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.101101101101101
"129, 'вспотевшая', 'zpocený', 'зпоцени'",0.0,0.0,1.6,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,-0.1297297297297297
"130, 'отскочила', 'uskočil', 'ускочил'",0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0486486486486485
"131, 'повелитель', 'velitel', 'велител'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4689984101748807
"133, 'погнались', 'hnaly', 'хналы'",0.0,0.0,2.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,2.0,-1.8540540540540544
"134, 'облаках', 'oblacích', 'облацих'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1891891891891892
"135, 'копий', 'kopí', 'копи'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0206677265500794
"138, 'воин', 'voják', 'войак'",0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1824324324324324
"27, 'кабели', 'kabelů', 'кабелу'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.725
"28, 'взялись', 'ujali', 'уйали'",0.0,0.0,1.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.833333333333333
"222, 'провести', 'provést', 'провэст'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9166666666666669
"224, 'выпытывали', 'vyptávali', 'выптавали'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0454545454545454
"232, 'передала', 'předala', 'пржедала'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3416666666666666
"238, 'повскакивали', 'povyskočil', 'повыскочил'",0.0,0.0,0.0,1.0,1.3,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-5.325000000000001
"39, 'охрану', 'ochranu', 'охрану'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1907894736842102
"312, 'скопища', 'skupinky', 'скупинкы'",0.0,0.0,0.0,0.0,2.6,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-5.166666666666666
"315, 'облепили', 'obklopily', 'обклопилы'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-0.2392344497607654
"320, 'пана', 'pánův', 'панув'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.4342105263157892
"327, 'пан', 'pane', 'пане'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5047846889952152
"333, 'подали', 'podali', 'подали'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1842105263157894
"40, 'показывался', 'neukazoval', 'неуказовал'",0.0,0.0,2.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,-1.2
"42, 'неспешно', 'uspěchané', 'успеханэ'",0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0083333333333332
"45, 'местным', 'městskými', 'местскими'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.6,0.0,0.1851851851851851
"47, 'искушенные', 'zkušení', 'зкушени'",0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6,0.0,-0.0717948717948718
"410, 'хочет', 'chce', 'хце'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8051282051282053
"413, 'отречься', 'odříci', 'одржици'",0.0,0.0,0.6,0.0,2.2,0.0,0.0,1.0,0.0,0.0,0.0,2.0,-1.933333333333333
"418, 'послушности', 'poslušnosti', 'послушности'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666666666666666
"419, 'границ', 'hranic', 'храниц'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.933333333333333
