pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"18, 'следствии', 'śledztwa', 'шледзтва'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,1.0,0.0,1.0,0.0,-0.2222222222222221
"114, 'герольдов', 'heroldów', 'херолдув'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-0.3968253968253967
"118, 'хлопцев', 'chłopców', 'хлопцув'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3888888888888888
"126, 'подросток', 'wyrostek', 'выростек'",0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0592592592592593
"129, 'вспененная', 'spieniony', 'спиенионы'",0.0,0.0,1.0,0.0,0.2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0222222222222222
"130, 'отскочила', 'uskoczył', 'ускочыл'",0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.2666666666666666
"140, 'кривя', 'krzywiąc', 'кжывиомц'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-1.4444444444444442
"142, 'шли', 'szli', 'шли'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6296296296296294
"210, 'размышлять', 'rozmyślać', 'розмышлач'",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.0,0.0,0.8257575757575757
"213, 'сидит', 'siedzi', 'сиедзи'",0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1636363636363635
"222, 'реализовать', 'zrealizować', 'зреализовач'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1287878787878787
"224, 'выпытывали', 'wypytywano', 'выпытывано'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1446280991735536
"227, 'кровных', 'krewnych', 'кревных'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0454545454545455
"237, 'коже', 'skórze', 'скуже'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1848484848484848
"238, 'подпрыгивали', 'podrygiwały', 'подрыгивалы'",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-0.5681818181818181
"39, 'опеку', 'opiekę', 'опиекен'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0263157894736843
"318, 'сильной', 'silną', 'силном'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0263157894736843
"319, 'господским', 'gospodą', 'господом'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-0.2657894736842104
"320, 'пана', 'pana', 'пана'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263157894736843
"323, 'ехавших', 'jechali', 'йехали'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.443609022556391
"327, 'пан', 'panie', 'пание'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.291866028708134
"333, 'подали', 'podano', 'подано'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0263157894736842
"40, 'показывался', 'pokazywał', 'показывал'",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5822784810126583
"44, 'рассудка', 'rozsądku', 'розсомдку'",0.0,0.0,0.9,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3502109704641349
"45, 'местным', 'miasta', 'миаста'",0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-0.0210970464135021
"46, 'невольника', 'niewolniczym', 'ниеволничым'",0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-0.4692274116106503
"410, 'хочет', 'chce', 'хце'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1567672833495618
"411, 'младших', 'najmłodszych', 'наймлодшых'",0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7215189873417721
"412, 'разумеющего', 'rozumie', 'розумие'",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,2.0,0.0,3.0,0.0,0.3650632911392404
"413, 'отречься', 'wyrzec', 'выжец'",0.0,0.0,2.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.174683544303797
"418, 'послушности', 'posłuchu', 'послуху'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,-2.3417721518987342
"419, 'границ', 'granic', 'границ'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7341772151898738
"420, 'кровило', 'krwawiła', 'крвавила'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.3,0.0,0.1069402007856831
"423, 'мучил', 'męczył', 'менчыл'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-0.8379746835443036
"435, 'разумел', 'rozumiał', 'розумиал'",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.3461750137589434
"51, 'потом', 'potu', 'поту'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,-0.0701754385964912
"510, 'божеств', 'bóstw', 'буств'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8140350877192981
