pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"18, 'слушании', 'саслушања'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,-1.2
"112, 'путь', 'пут'",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333335
"118, 'детей', 'дечака'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,-0.65
"119, 'воин', 'војник'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0833333333333332
"124, 'лоза', 'лоза'",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10625
"125, 'путем', 'путем'",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666666666666667
"128, 'извлек', 'извукао'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.3
"134, 'облаке', 'облаку'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45
"135, 'копий', 'копаља'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2235294117647059
"137, 'блестящими', 'блиставим'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.6,0.0,0.0,1.0,0.0,0.3125
"138, 'воин', 'војник'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.51875
"142, 'пошли', 'дошли'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889
"26, 'абажурами', 'абажурима'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.7692307692307694
"210, 'размышлять', 'размишља'",0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.3,0.0,0.0,2.0,0.0,0.2136752136752137
"220, 'наоборот', 'наопако'",0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7692307692307694
"238, 'подскакивали', 'поскакивале'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-4.307692307692308
"32, 'благосклонности', 'наклоности'",0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6145833333333334
"38, 'столбами', 'стубовима'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.3392857142857143
"310, 'шли', 'ишле'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
"311, 'стежками', 'стазама'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2291666666666667
"323, 'неслись', 'носили'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6696428571428572
