pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"11, 'сходням', 'schodíkom', 'сходиком'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-0.7536231884057969
"18, 'слушании', 'výsluchu', 'вислуху'",0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,-0.422519509476031
"19, 'помутнённой', 'pomäteným', 'помэтеним'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0434782608695652
"110, 'ведал', 'vedel', 'ведел'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3623188405797101
"111, 'сходням', 'schodíkom', 'сходиком'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-0.0202898550724638
"118, 'сорванцов', 'šarvancov', 'шарванцов'",0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1072463768115941
"119, 'воин', 'vojak', 'войак'",0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6280193236714975
"126, 'хлопец', 'chlapec', 'хлапец'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.404830917874396
"127, 'повелитель', 'veliteľ', 'велител'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2517444981213096
"128, 'вытащил', 'vytasil', 'вытасил'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.188405797101449
"129, 'вспотевшая', 'spotený', 'спотени'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.1072463768115941
"131, 'повелитель', 'veliteľ', 'велител'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3878942881500428
"134, 'облаке', 'oblaku', 'облаку'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1801242236024844
"138, 'воин', 'vojak', 'войак'",0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2826086956521739
"142, 'шли', 'išli', 'ишли'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080515297906602
"27, 'кабели', 'káble', 'кабле'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-0.1694915254237289
"28, 'взялись', 'vzali', 'взали'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2.0,-2.6384180790960454
"212, 'сложные', 'zložité', 'зложитэ'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.0,0.0,0.0,1.6,0.0,-0.1694915254237288
"217, 'шальной', 'šialenec', 'шиаленец'",0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,2.0,0.0,2.0,0.0,-1.3389830508474576
"222, 'достигнуть', 'dosiahnuť', 'досиахнут'",0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03954802259887
"227, 'приближенных', 'príbuzných', 'прибузних'",0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.6,0.0,-2.1186440677966103
"232, 'отпустила', 'prepustila', 'препустила'",0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4293785310734463
"238, 'подскакивали', 'nadskakovali', 'надскаковали'",0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1186440677966103
"38, 'столбами', 'stĺpmi', 'стллпми'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1868131868131868
"39, 'охрану', 'ochranu', 'охрану'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1858974358974357
"310, 'хлынули', 'hrnuli', 'хрнули'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512820512820512
"319, 'гостиным', 'hostincom', 'хостинцом'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1461538461538461
"320, 'пана', 'pánov', 'панов'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0512820512820513
"323, 'летевших', 'leteli', 'летели'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0512820512820513
"325, 'выведывать', 'vyzvedal', 'вызведал'",0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,-0.8974358974358975
"327, 'пан', 'pane', 'пане'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.655011655011655
"330, 'огонь', 'oheň', 'охен'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2649572649572649
"40, 'показывался', 'neukazoval', 'неуказовал'",0.0,0.0,2.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0833333333333334
"42, 'спокойно', 'pokojne', 'покойне'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5416666666666667
"45, 'местным', 'mestských', 'местских'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.6,0.0,-0.2222222222222222
"47, 'искушенные', 'skúsení', 'скусени'",0.0,0.0,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,1.2,0.0,-0.0576923076923077
"410, 'хочет', 'chce', 'хце'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2948717948717948
"411, 'младших', 'najmladších', 'наймладших'",0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"413, 'отречься', 'zrieknuť', 'зриекнут'",0.0,0.0,2.0,0.0,2.2,0.0,0.0,1.0,1.0,0.0,2.0,2.0,-1.5666666666666669
"418, 'послушности', 'poslúchať', 'послухат'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,-2.6666666666666665
"420, 'ранено', 'zrarená', 'зрарена'",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3045977011494252
"432, 'утратит', 'stratiť', 'стратит'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3000000000000003
"437, 'представлении', 'predstavách', 'представах'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.1979166666666666
"443, 'жалость', 'žiaľ', 'жиал'",0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.1999999999999995
"51, 'потом', 'pot', 'пот'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.025
"55, 'мыслях', 'mysľou', 'мыслоу'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.46875
"510, 'божеств', 'božstvami', 'божствами'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.4125
"511, 'помыслил', 'pomyslel', 'помыслел'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.11875
"519, 'ваз', 'váz', 'ваз'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7625
"534, 'возможность', 'možnosť', 'можност'",0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0285714285714285
"536, 'навестить', 'navštíviť', 'навштивит'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.7416666666666667
