pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"18, 'слушании', 'zasliševanjem', 'заслишеванйем'",0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.2,0.0,1.8,0.0,0.4511434511434511
"110, 'ведал', 'vedel', 'ведел'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.3783783783783785
"119, 'воин', 'vojak', 'войак'",0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9009009009009008
"125, 'путем', 'poti', 'поти'",0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.4714714714714714
"126, 'дитя', 'deček', 'дечек'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.445045045045045
"127, 'повелитель', 'poveljnik', 'повелйник'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,0.0,0.0,-0.1891891891891891
"128, 'выдернул', 'izdrl', 'издрл'",0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.3783783783783785
"130, 'отскочила', 'skočil', 'скочил'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0702702702702703
"131, 'повелитель', 'poveljnik', 'повелйник'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0206677265500794
"134, 'облаке', 'oblak', 'облак'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1505791505791505
"138, 'воин', 'vojak', 'войак'",0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5540540540540541
"141, 'пошел', 'šel', 'шел'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5675675675675675
"142, 'ступали', 'stopali', 'стопали'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075075075075075
"217, 'слабоумный', 'slaboumnež', 'слабоумнеж'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,-0.2432432432432433
"238, 'подскакивали', 'odskakovale', 'одскаковале'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,-1.4864864864864866
"37, 'оживление', 'živahno', 'живахно'",0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,-2.570175438596491
"311, 'стежками', 'stezicah', 'стезицах'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,-1.596491228070175
