pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"11, 'сходням', 'сходинок'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,-1.6052631578947367
"15, 'диво', 'диво'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3052631578947368
"18, 'допросе', 'допиті'",0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.020242914979757
"111, 'сходням', 'сходинок'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,-1.0842105263157895
"118, 'хлопцев', 'хлопчиськ'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.0,0.0,2.0,0.0,0.0736842105263158
"126, 'хлопчик', 'хлопчик'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3824561403508771
"137, 'блестящими', 'блискучими'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2763157894736843
"211, 'искушал', 'спокушав'",0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.8648648648648647
"212, 'мудреные', 'мудровані'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.2,0.0,0.627027027027027
"222, 'сделать', 'здійснити'",0.0,0.0,0.6,0.0,3.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.864864864864865
"224, 'выпытали', 'випитали'",0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4348894348894349
"234, 'очи', 'очі'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-2.72972972972973
"238, 'подскакивали', 'підскакували'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1081081081081083
"39, 'опеку', 'опікою'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,-1.5
"311, 'стежками', 'стежками'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
"318, 'сильною', 'сильною'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
"323, 'ехавших', 'їхали'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.7142857142857143
"327, 'пан', 'пане'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5454545454545454
"333, 'подали', 'подали'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"45, 'местным', 'міста'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-0.543859649122807
"48, 'прыткими', 'спритними'",0.0,0.0,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0075187969924812
"410, 'хочет', 'хоче'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5546558704453441
"412, 'разумеющего', 'розуміє'",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.6,2.0,0.0,2.3,0.0,0.6757894736842105
"418, 'послушности', 'послуху'",0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,-4.789473684210526
"431, 'прорва', 'прірва'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.488721804511278
"435, 'разумел', 'розумів'",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.4462242562929062
"51, 'потом', 'поту'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"510, 'божеств', 'божеств'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0162162162162162
"518, 'облегчение', 'полегшення'",0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,-0.2702702702702704
"523, 'отказавшись', 'одмовився'",0.0,0.0,0.6,0.0,2.3,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.3372502937720328
"528, 'думой', 'думкою'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6824324324324325
"534, 'допущение', 'припущення'",0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,-1.903474903474904
"65, 'лавках', 'лавах'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6036036036036035
"68, 'месяц', 'місяць'",0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6036036036036035
"617, 'повествованиями', 'оповідями'",0.0,0.0,1.0,0.0,3.2,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-1.3783783783783787
