pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"10, 'повернулся', 'завярнуўся'",0.0,0.0,1.3,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6691729323308271
"11, 'ступеням', 'прыступак'",0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,-0.4473684210526314
"12, 'шашек', 'шашак'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1578947368421052
"14, 'финики', 'фiнiкi'",0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.7986270022883295
"16, 'вырвался', 'вырваўся'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.768421052631579
"17, 'веревки', 'вяроўкi'",0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-3.631578947368421
"111, 'ступеням', 'прыступак'",0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,-1.5473684210526315
"112, 'дорогу', 'дарогу'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"113, 'осужденных', 'асуджаных'",0.0,0.0,0.3,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.430340557275542
"114, 'глашатаев', 'глашатаяў'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.3383458646616541
"115, 'греческом', 'грэцкай'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.8345864661654135
"116, 'труба', 'трубы'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8070175438596491
"117, 'весело', 'весела'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-0.1578947368421051
"119, 'солдат', 'салдат'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8070175438596491
"120, 'значком', 'значком'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8218623481781376
"122, 'вылетела', 'вылецела'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7368421052631577
"123, 'каменной', 'каменнаю'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.2280701754385964
"124, 'виноград', 'вiнаград'",0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7828947368421052
"125, 'дорогой', 'дарогаю'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.6140350877192983
"127, 'командир', 'камандзiр'",0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7855750487329435
"129, 'взмокшая', 'мокры'",0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.6526315789473685
"130, 'шарахнулась', 'шарахнуўся'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6526315789473685
"131, 'командир', 'камандзiр'",0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0464396284829721
"132, 'шее', 'шыi'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-0.1578947368421052
"133, 'полетели', 'паляцелi'",0.0,0.0,0.3,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.3894736842105263
"135, 'пик', 'пiк'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5232198142414861
"136, 'весело', 'весела'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.465587044534413
"138, 'солдат', 'салдат'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6381578947368421
"139, 'трубою', 'трубою'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7105263157894737
"140, 'морща', 'моршчыўся'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,-0.7368421052631577
"20, 'пустому', 'пустым'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9068825910931172
"21, 'коридору', 'калiдоры'",0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"23, 'стеклянные', 'шкляныя'",0.0,0.0,0.0,0.0,2.6,0.0,0.0,1.0,0.0,0.0,0.6,0.0,-0.0375939849624058
"24, 'инструментами', 'iнструментамi'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-1.4210526315789471
"25, 'кресла', 'крэслы'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9135338345864664
"26, 'колпаками', 'каўпакамi'",0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0921052631578947
"27, 'провода', 'правады'",0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6973684210526316
"29, 'столик', 'столiк'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
"210, 'думать', 'думаць'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7982456140350878
"214, 'сегодняшний', 'сённяшнi'",0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8991228070175439
"215, 'вчерашнего', 'ўчарашняга'",0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.6973684210526316
"216, 'сомнительным', 'сумнiцельным'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,1.0,0.0,0.0,0.0,-0.2105263157894736
"219, 'вчерашний', 'учарашнi'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.7799043062200958
"225, 'жизни', 'жыццё'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-2.026315789473684
"226, 'страницу', 'старонку'",0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.631578947368421
"228, 'умер', 'памёр'",0.0,0.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6973684210526315
"229, 'пил', 'пiў'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.229665071770335
"230, 'вчерашнем', 'ўчарашняе'",0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.6217105263157895
"231, 'удивлялись', 'здзiўлялiся'",0.0,0.0,1.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.2,1.0,-0.0592105263157894
"233, 'пульс', 'пульс'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0087719298245613
"235, 'помощь', 'дапамогу'",0.0,0.0,2.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.031578947368421
"236, 'спину', 'спiну'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3947368421052631
"30, 'молитва', 'малітва'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
"31, 'божество', 'боства'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0833333333333333
