pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"10, 'повернулся', 'odwrócił', 'одвруцил'",1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.1269841269841269
"12, 'шашек', 'szachownicę', 'шаховницен'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,-0.6296296296296297
"15, 'чудо', 'cud', 'цуд'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1444444444444444
"16, 'вырвался', 'wyrwał', 'вырвал'",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5111111111111111
"112, 'дорогу', 'drogę', 'дроген'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5925925925925926
"115, 'греческом', 'grecku', 'грецку'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.0,0.0,0.0,1.6,0.0,0.4761904761904762
"116, 'труба', 'trąbki', 'тромбки'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.2222222222222222
"117, 'весело', 'wesoły', 'весолы'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.499999999999999
"120, 'знаком', 'znakiem', 'знакием'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.2478632478632479
"121, 'остановились', 'przystanęli', 'пжыстаненли'",0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.6,0.0,0.0,0.0,2.0,-0.3333333333333332
"123, 'каменной', 'kamiennych', 'камиенных'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.6296296296296297
"124, 'виноград', 'winem', 'винем'",0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.298611111111111
"125, 'дорогой', 'drogą', 'дрогом'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1851851851851852
"136, 'весело', 'wesoło', 'весоло'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5042735042735041
"139, 'трубою', 'trąbka', 'тромбка'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.2666666666666666
"20, 'пустому', 'pustym', 'пустым'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8391608391608391
"21, 'коридору', 'korytarzem', 'корытажем'",0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.0454545454545455
"23, 'стеклянные', 'przeszklone', 'пжешклоне'",0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.3896103896103895
"27, 'провода', 'przewody', 'пжеводы'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.6136363636363635
"29, 'столик', 'stoliku', 'столику'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6515151515151515
"212, 'замысловатые', 'wymyślne', 'вымышлне'",0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,-0.4636363636363637
"214, 'сегодняшний', 'dzisiejszy', 'дзисиейшы'",0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.2,0.0,0.0,1.6,0.0,0.5643939393939393
"215, 'вчерашнего', 'wczorajszego', 'вчорайшего'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4772727272727272
"218, 'повествование', 'opowiadać', 'оповиадач'",0.0,0.0,1.0,0.0,3.4,0.0,0.0,2.3,2.0,0.0,1.0,0.0,0.1636363636363635
"219, 'вчерашний', 'wczorajsze', 'вчорайше'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.6,0.0,0.7148760330578513
"221, 'замкнуться', 'zamknąć', 'замкномч'",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,2.0,2.0,0.2159090909090909
"225, 'жизни', 'życia', 'жыциа'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.0,0.0,0.0,1.2,0.0,-1.090909090909091
"226, 'страницу', 'stronicę', 'строницен'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.0454545454545455
"228, 'умер', 'umarł', 'умарл'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.790909090909091
"229, 'пил', 'pil', 'пил'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6198347107438017
"230, 'вчерашнем', 'wczoraj', 'вчорай'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.4119318181818181
"231, 'удивлялись', 'zdziwienia', 'здзивиениа'",0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.8,1.0,0.0,1.2,2.0,-0.4375
