pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"10, 'повернулся', 'obrátil', 'обратил'",0.5,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,-0.093167701863354
"113, 'осужденных', 'odsúdenci', 'одсуденци'",0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.3,0.0,0.2122762148337595
"115, 'греческом', 'grécky', 'грэцкы'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.3623188405797101
"117, 'весело', 'veselo', 'весело'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5942028985507246
"121, 'остановились', 'zastavili', 'заставили'",0.5,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7391304347826086
"122, 'вылетела', 'vyletela', 'вылетела'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.869565217391304
"123, 'каменной', 'kamennom', 'каменном'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0628019323671498
"124, 'виноград', 'viničom', 'виничом'",0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,-0.1159420289855072
"132, 'шее', 'šiji', 'шийи'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-0.9130434782608696
"135, 'пик', 'pík', 'пик'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2122762148337595
"136, 'весело', 'veselo', 'весело'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.128205128205128
"140, 'морща', 'mraštil', 'мраштил'",0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.710144927536232
"23, 'стеклянные', 'sklené', 'скленэ'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.6,0.0,0.0,1.6,0.0,-0.3365617433414044
"25, 'кресла', 'kreslá', 'кресла'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6101694915254237
"29, 'столик', 'stolíku', 'столику'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0790960451977405
"213, 'задержан', 'držia', 'држиа'",0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,-0.559322033898305
"214, 'сегодняшний', 'dnešný', 'днешни'",0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2853107344632768
"215, 'вчерашнего', 'včerajšieho', 'вчерайшиехо'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8,0.0,0.2203389830508474
"219, 'вчерашний', 'včerajšie', 'вчерайшие'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.8,0.0,0.2203389830508474
"226, 'страницу', 'stránku', 'странку'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.3389830508474578
"228, 'умер', 'umrel', 'умрел'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4152542372881356
"229, 'пил', 'nepil', 'непил'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077041602465331
"230, 'вчерашнем', 'včerajšej', 'вчерайшей'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.5614406779661016
"233, 'пульс', 'pulz', 'пулз'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03954802259887
"235, 'помощь', 'pomoc', 'помоц'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2474576271186441
"237, 'коже', 'koži', 'кожи'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2203389830508475
"30, 'молитва', 'modlitba', 'модлитба'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4465811965811966
"31, 'бога', 'boha', 'боха'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512820512820512
"32, 'милосердии', 'milosrdenstvo', 'милосрденство'",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6,3.0,0.0,1.0,0.0,-1.8461538461538465
"33, 'угрозы', 'hrozby', 'хрозбы'",0.0,0.0,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"34, 'лежащей', 'ležiace', 'лежиаце'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.110576923076923
"317, 'боги', 'bohovia', 'боховиа'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.573076923076923
"321, 'приказанию', 'rozkaz', 'розказ'",0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,-0.8974358974358972
"331, 'новые', 'nové', 'новэ'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.708086785009862
"332, 'дыма', 'dymu', 'дыму'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"333, 'привели', 'priviedli', 'привиедли'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"334, 'вскочил', 'vyskočil', 'выскочил'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2051282051282051
"44, 'разума', 'rozumu', 'розуму'",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5925925925925926
"414, 'воинская', 'vojenská', 'войенска'",0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6764705882352942
"415, 'своеволие', 'svojvôľu', 'свойвуолу'",0.0,0.0,0.0,0.0,1.0,1.6,1.0,1.0,0.0,0.0,1.0,0.0,-5.416666666666667
"416, 'приказ', 'rozkaz', 'розказ'",0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333
"417, 'пребывание', 'pobyt', 'побыт'",0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,-1.4444444444444442
"422, 'загадка', 'záhada', 'захада'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.055555555555556
"424, 'правду', 'pravdu', 'правду'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6140350877192983
"430, 'ощущать', 'pocit', 'поцит'",0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-2.6666666666666665
"431, 'пропасть', 'priepasť', 'приепаст'",0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0952380952380951
