pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"11, 'ступеням', 'stopnicam', 'стопницам'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.6,0.0,0.0,0.6,0.0,-1.0810810810810811
"15, 'чудо', 'čudo', 'чудо'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054054054054054
"111, 'ступеням', 'stopnicam', 'стопницам'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.6,0.0,0.0,0.6,0.0,-0.4270270270270271
"115, 'греческом', 'grščini', 'гршчини'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6,0.0,0.0,2.0,0.0,0.1505791505791505
"116, 'труба', 'trobento', 'тробенто'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,3.0,0.0,0.0,0.5,0.0,-0.2882882882882884
"117, 'весело', 'veselo', 'весело'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3783783783783785
"120, 'знаменем', 'znamenjem', 'знаменйем'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6340956340956341
"121, 'остановились', 'ustavili', 'уставили'",0.0,0.0,0.6,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.4054054054054055
"123, 'каменной', 'kamnitnim', 'камнитним'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.6036036036036035
"124, 'виноград', 'vinsko', 'винско'",0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.2567567567567567
"129, 'взмокшая', 'premočeni', 'премочени'",0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.1675675675675675
"136, 'весело', 'veselo', 'весело'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2806652806652807
"139, 'трубою', 'trobenta', 'тробента'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,3.0,0.0,0.0,1.3,0.0,0.1675675675675675
"140, 'морща', 'namrščil', 'намршчил'",0.0,0.0,2.0,0.0,2.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.4864864864864865
"23, 'застекленные', 'zastekljene', 'застеклйене'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.0,0.0,-0.4208494208494208
"24, 'инструментами', 'instrumenti', 'инструменти'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.2432432432432433
"212, 'замысловатые', 'izmišljene', 'измишлйене'",0.0,0.0,2.0,0.0,2.2,0.0,0.0,4.0,0.0,0.0,1.0,0.0,-0.6162162162162164
