pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"10, 'повернулся', 'повернувся'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"12, 'шашек', 'шашок'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0877192982456143
"13, 'спиною', 'спиною'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"14, 'финики', 'фініки'",0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7482837528604119
"16, 'вырвался', 'вирвався'",0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.768421052631579
"110, 'знал', 'знав'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"112, 'дорогу', 'дорогу'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2280701754385964
"113, 'осужденных', 'засуджених'",0.0,0.0,1.3,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.5913312693498453
"114, 'глашатаев', 'глашатаїв'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8345864661654135
"115, 'греческом', 'грецькою'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.8345864661654135
"117, 'весело', 'весело'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4210526315789474
"119, 'солдат', 'солдат'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"120, 'значком', 'значком'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7327935222672065
"122, 'вылетела', 'вилетіла'",0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,-1.3157894736842104
"123, 'каменной', 'камяним'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.6140350877192983
"124, 'виноград', 'виноград'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8552631578947368
"127, 'командир', 'командир'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713450292397661
"129, 'взмокшая', 'змоклий'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.363157894736842
"131, 'командир', 'командир'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8637770897832817
"132, 'шее', 'шиї'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5368421052631579
"133, 'полетели', 'полетіли'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.5368421052631579
"136, 'весело', 'весело'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3765182186234818
"138, 'солдат', 'солдат'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7828947368421052
"140, 'морща', 'морщачи'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1315789473684211
"21, 'коридору', 'коридором'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0
"23, 'стеклянные', 'скляні'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.2,0.0,-0.0656370656370656
"24, 'инструментами', 'інструментами'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2432432432432433
"25, 'кресла', 'крісла'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8223938223938224
"26, 'колпаками', 'ковпаками'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3783783783783783
"29, 'столик', 'столик'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711711711711711
"210, 'обдумывать', 'обдумувати'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"214, 'сегодняшний', 'сьогоднішній'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6891891891891891
"215, 'вчерашнего', 'вчорашнього'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6891891891891891
"216, 'сомнительным', 'сумнівним'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.2,4.0,0.0,0.6,0.0,-1.4864864864864866
"218, 'повествование', 'розповідь'",0.0,0.0,3.0,0.0,3.2,0.0,0.0,5.0,0.0,0.0,1.0,0.0,-0.2432432432432433
"219, 'вчерашний', 'вчорашній'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.773955773955774
"221, 'замкнуться', 'замкнутися'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0675675675675674
"225, 'жизни', 'життя'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-0.2432432432432433
"226, 'страницу', 'сторінку'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.864864864864865
"227, 'родне', 'рідню'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2432432432432433
"228, 'умер', 'помер'",0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891891891891891
"229, 'пил', 'пив'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6609336609336609
"230, 'вчерашнем', 'вчорашню'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7668918918918919
"231, 'удивлялись', 'дивувалися'",0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.2229729729729729
